Sample;40.control;41.control;70.control;42.stage1;81.stage1;85.stage1;82.stage2;77.stage2;30.stage2;78.stage3;80.stage3;25.stage3;39.stage4;24.stage4;76.stage4
Label;Control;Control;Control;Stage1;Stage1;Stage1;Stage2;Stage2;Stage2;Stage3;Stage3;Stage3;Stage4;Stage4;Stage4
ko:K00003;0.780145859;0.806160488;0.725098507;0.767286191;0.81763724;0.778314152;0.818063102;0.727701669;0.8311846;0.7746335;0.730835291;0.756866836;0.920624772;0.780791479;0.820167066
ko:K00008;0.870210353;0.873074669;0.705353201;0.844114182;0.866658406;0.812615868;0.659292169;0.838615631;0.681543889;0.651092888;0.843317906;0.882877157;0.67705227;0.72289364;0.814441792
ko:K00012;0.794559329;0.8868236;0.871052603;0.982767522;0.828323407;0.957301366;0.668451136;0.861519235;0.739266292;0.863462018;0.800757089;0.82902239;0.874888629;0.792641714;0.769340104
ko:K00013;0.795438565;0.786967818;0.754281645;0.805449056;0.830326108;0.803485716;0.770585653;0.670920919;0.872293664;0.846232882;0.736623295;0.804337113;0.74703219;0.844801367;0.811640594
ko:K00014;0.753576429;0.743776358;0.669907617;0.775167201;0.879321569;0.761287745;0.768469938;0.824914244;0.689534278;0.789585261;0.672476561;0.673514272;0.760648486;0.708263894;0.714142656
ko:K00016;0.774406123;0.81182401;0.750541044;0.792865102;0.783570527;0.813253682;0.771199946;0.762418195;0.763123446;0.680717806;0.687359801;0.717324379;0.881690084;0.754326429;0.761755349
ko:K00018;0.725392584;0.733847351;0.641675843;0.704092794;0.747203692;0.72198667;0.730428307;0.646408448;0.689993178;0.735974127;0.664357583;0.850061868;0.607097652;0.680472601;0.702812182
ko:K00027;0.803971539;0.768543909;0.615669519;0.7777857;0.847947928;0.792917893;0.84962218;0.789718509;0.822520918;0.756502705;0.872124866;0.82675752;1.110.652.104;0.900773294;0.860453703
ko:K00052;0.717025724;0.773441161;0.588033952;0.769698235;0.758683363;0.77401886;0.691092218;0.802898022;0.739311928;0.993572718;0.904420704;0.876962065;0.603326569;114.129.405;1.000.624.779
ko:K00057;0.74295669;0.723767268;0.758744164;0.809818671;0.78732484;0.815743412;0.793596482;0.754789093;0.737600034;0.661686901;0.857842029;0.718145572;0.669593883;0.777271186;0.788348006
ko:K00058;0.802755262;0.919112077;0.655554475;0.882530496;0.934504591;0.871949442;0.725731657;1.077.555.273;0.742543779;0.661713764;0.823583236;0.655866546;0.700813426;0.749395689;0.774700052
ko:K00059;0.801652779;0.793067417;0.735498504;0.844747495;0.817833276;0.844230775;0.777340251;0.886503159;0.809674611;0.814085411;0.782438272;0.682905628;0.816120988;0.737743465;0.748188191
ko:K00067;0.790714085;0.793607589;0.670648052;0.913479485;0.80657259;0.869145214;0.716607487;0.830884676;0.662098685;0.932550218;0.665559758;0.805632883;0.701004343;0.661175704;0.693672191
ko:K00075;0.745506185;0.773703519;0.698930629;0.7138843;0.769951617;0.713961079;0.719234901;0.806364717;0.655588058;0.776703715;0.688830856;0.693541177;0.59171858;0.672500502;0.74236849
ko:K00077;0.729451259;0.748967258;0.67658995;0.716277296;0.767993616;0.747002774;0.719976849;0.950172658;0.704684181;0.459401808;0.621739512;0.579925129;0.565512639;0.596639325;0.598348851
ko:K00088;0.954948653;0.853889632;0.969402122;0.776329477;0.830472552;0.758654196;1.105.114.136;0.771813255;1.002.650.371;0.834346324;1.122.760.971;0.85173106;0.815362317;0.909624381;0.920802533
ko:K00099;0.762787448;0.792972307;0.709177234;0.683655476;0.817599836;0.692664751;0.851723772;0.850689441;0.781217101;0.802424841;0.742928974;0.768108644;0.822519501;0.72711051;0.727530045
ko:K00111;0.84215138;0.871626769;0.685320899;0.788111497;0.86741738;0.781585982;0.726525658;0.943453602;0.731872018;0.72084789;0.799818244;0.702005985;0.746116909;0.757703685;0.745829605
ko:K00123;0.848243915;0.726788791;0.777340073;0.724486853;0.746283521;0.724564086;0.976008524;0.907923224;1.013.665.859;1.018.439.489;1.450.934.632;0.77275752;0.792694386;0.917693511;0.862321609
ko:K00128;0.769105554;0.734177497;0.757830826;0.79759045;0.802098091;0.799607886;0.825577411;0.80682711;0.868163533;0.723800955;0.783241264;0.735634165;1.048.885.331;0.793823258;0.736073339
ko:K00133;0.854394398;0.864315475;0.654545939;0.889844509;0.93742491;0.946475148;1.041.397.921;0.970723306;0.961911824;0.613899937;0.738914436;0.758146464;0.844944555;0.82100035;0.996813772
ko:K00134;0.981943141;1.095.654.378;0.99574363;0.861602215;0.964891717;0.911481483;0.777141577;1.174.610.043;1.071.646.118;1.175.728.103;1.223.440.107;0.959702454;1.285.522.597;1.275.103.237;1.237.163.997
ko:K00147;0.80741028;0.740053898;0.751887159;0.783074847;0.709918704;0.775018696;0.703072038;0.833029153;0.768429249;0.730149369;0.689554321;0.70280245;0.777243611;0.709345279;0.697938513
ko:K00169;0.91591313;1.120.636.853;0.676777711;107.315.065;0.986971109;0.976984461;0.62551336;0.63972748;0.667880228;0.600966075;0.924619691;0.667269955;0.721495326;0.884433983;0.781778845
